Resource Name,Min_NonZero_TPO_Price,Max_TPO_Price
MCSES_UNIT6,0.99,5000.0
MCSES_UNIT7,0.99,5000.0
MCSES_UNIT8,0.99,5000.0
MDANP_CT1,0.01,80.85
MDANP_CT2,0.69,85.67
MDANP_CT3,0.69,80.67
MDANP_CT4,0.7,86.9
MDANP_CT5,0.67,89.52
MDANP_CT6,0.66,79.31
MGSES_CT1,19.41,1140.47
MGSES_CT2,16.23,1140.44
MGSES_CT3,16.82,1140.1
MGSES_CT4,16.38,1134.68
MGSES_CT5,19.46,1140.09
MGSES_CT6,19.33,1134.72
MIL_MILLERG2,18.24,265.78
MIL_MILLERG3,7.2,250.01
MIL_MILLERG4,17.77,323.74
MIL_MILLERG5,17.77,323.74
NEDIN_CC1_1,7.72,75.31
NEDIN_CC1_2,7.3,159.21
NUECES_B_CC1_1,0.01,5000.0
NUECES_B_CC1_2,0.01,5000.0
OECCS_CC1_1,3.78,34.37
OECCS_CC1_2,1.68,32.76
OECCS_CC1_4,0.01,36.94
OECCS_CC2_2,0.01,35.56
OECCS_CC2_4,0.01,42.86
OLINGR_OLING_2,46.14,1500.0
OLINGR_OLING_3,46.14,999.0
OLINGR_OLING_4,45.08,522.35
PANDA_S_CC1_1,8.8,124.56
PANDA_S_CC1_2,8.35,130.21
PANDA_T1_CC1_1,12.51,34.64
PANDA_T1_CC1_2,1.0,125.81
PANDA_T2_CC1_1,12.89,90.0
PANDA_T2_CC1_2,5.0,250.01
PB2SES_CT1,0.08,1156.05
PB2SES_CT2,0.1,1156.06
PB2SES_CT3,0.08,1156.03
PB2SES_CT4,0.09,1156.02
PB2SES_CT5,0.09,1156.04
PNPI_GT2,15.46,31.84
PRO_UNIT1,3.43,5000.0
PRO_UNIT2,3.43,5000.0
PRO_UNIT3,5.39,5000.0
PRO_UNIT4,3.43,5000.0
PRO_UNIT5,3.43,5000.0
PRO_UNIT6,3.43,5000.0
PRO_UNIT7,4.41,5000.0
PRO_UNIT8,3.43,5000.0
PSA_CC1_3,6.24,118.29
PSA_CC1_4,7.56,143.47
PSA_CC1_5,6.7,121.47
PSG_CC1_1,4.93,75.0
PSG_CC1_2,5.03,154.11
QALSW_CC1_1,0.05,211.54
QALSW_CC1_2,0.05,211.54
QALSW_CC2_1,0.02,147.8
QALSW_CC2_2,0.05,211.54
RAB_UNIT1,7.64,5000.0
RAB_UNIT2,8.62,5000.0
RAB_UNIT3,8.62,5000.0
RAB_UNIT4,8.62,5000.0
RAB_UNIT5,8.62,5000.0
RAB_UNIT6,8.62,5000.0
RAB_UNIT7,8.62,5000.0
RAB_UNIT8,8.62,5000.0
RAYBURN_CC1_1,21.15,72.94
RAYBURN_CC1_2,21.14,77.67
RAYBURN_CC1_3,23.42,77.79
RIONOG_CC1_1,17.28,111.13
RIONOG_CC1_6,0.01,18.95
SANDHSYD_CC1_1,5.18,23.25
SANDHSYD_CC1_2,4.24,150.0
SANDHSYD_SH1,5.97,91.48
SANDHSYD_SH2,5.97,91.48
SANDHSYD_SH3,5.97,91.48
SANDHSYD_SH4,5.97,91.48
SANDHSYD_SH6,6.08,94.39
SANDHSYD_SH7,6.08,91.48
SCSES_UNIT1A,3.11,645.48
SCSES_UNIT2,0.9,555.96
SILASRAY_CC1_1,17.81,117.68
SILASRAY_SILAS_10,13.61,89.9
SJS_SJS_G1,12.66,84.96
SJS_SJS_G2,13.79,31.67
SPNCER_SPNCE_4,29.98,5000.0
SPNCER_SPNCE_5,32.08,999.0
STEAM_STEAM_2,34.04,4550.0
STEAM_STEAM_3,31.06,4550.0
TEN_CC1_1,0.03,487.35
TGCCS_CC1_1,5.0,19.89
TGCCS_CC1_2,0.01,83.43
TGCCS_CC1_3,0.01,83.43
TGCCS_CC1_5,1.0,37.77
TGS_GT01,12.0,763.75
THW_CC1_1,14.3,122.16
THW_CC1_2,12.0,84.83
THW_CC1_3,16.17,40.86
THW_CC1_4,11.95,32.37
THW_CC1_5,16.17,40.3
THW_CC1_6,7.5,127.67
THW_CC1_7,12.0,31.93
THW_CC1_8,11.76,100.0
THW_CC2_1,14.3,122.16
THW_CC2_2,10.79,84.83
THW_CC2_3,7.5,40.86
THW_CC2_4,10.79,32.37
THW_CC2_5,12.98,44.08
THW_CC2_6,14.74,127.67
THW_CC2_7,10.74,90.19
THW_CC2_8,11.95,100.0
THW_THWGT51,7.47,4500.0
THW_THWGT52,7.47,4500.0
THW_THWGT53,7.47,4500.0
THW_THWGT54,14.05,108.94
THW_THWGT55,9.03,4500.0
THW_THWGT56,8.89,4500.0
THW_THWGT_1,12.67,102.48
